hourly_range,Federal_Holiday
2019-01-01,1
2019-01-21,1
2019-02-18,1
2019-05-27,1
2019-07-04,1
2019-09-02,1
2019-10-14,1
2019-11-11,1
2019-11-28,1
2019-12-25,1
2020-01-01,1
2020-01-20,1
2020-02-17,1
2020-05-25,1
2020-07-03,1
2020-09-07,1
2020-10-12,1
2020-11-11,1
2020-11-26,1
2020-12-25,1
2021-01-01,1
2021-01-18,1
2021-01-20,1
2021-02-15,1
2021-05-31,1
2021-06-18,1
2021-07-05,1
2021-09-06,1
2021-10-11,1
2021-11-11,1
2021-11-25,1
2021-12-24,1
2022-12-31,1
2022-01-17,1
2022-02-21,1
2022-05-30,1
2022-06-20,1
2022-07-04,1
2022-09-05,1
2022-10-10,1
2022-11-11,1
2022-11-24,1
2022-12-26,1
2023-01-02,1
2023-01-16,1
2023-02-20,1
2023-05-29,1
2023-06-19,1
2023-07-04,1
2023-09-04,1
2023-10-09,1
2023-11-10,1
2023-11-23,1
2023-12-25,1
